#NodeIndex NodeName R G B A
10 lh_thalamus 0 118 14 0
11 lh_caudate 122 186 220 0
12 lh_putamen 236 13 176 0
13 lh_pallidum 12 48 255 0
17 lh_hippocampus 220 216 20 0
18 lh_amygdala 103 255 255 0
26 lh_accumbens 255 165 0 0
49 rh_thalamus 0 118 14 0
50 rh_caudate 122 186 220 0
51 rh_putamen 236 13 176 0
52 rh_pallidum 13 48 255 0
53 rh_hippocampus 220 216 20 0
54 rh_amygdala 103 255 255 0
58 rh_accumbens 255 165 0 0
